Date,Open,High,Low,Close,Adj Close,Volume
2009-08-03,110.480003,110.540001,110.050003,110.220001,87.688736,48200
2009-08-04,110.419998,110.419998,109.900002,110.099998,87.593285,65500
2009-08-05,109.860001,110.449997,109.860001,109.889999,87.426201,76000
2009-08-06,109.860001,110.120003,109.830002,109.910004,87.442169,47900
2009-08-07,109.470001,109.550003,109.279999,109.419998,87.052277,111400
2009-08-10,109.599998,109.949997,109.550003,109.940002,87.465950,64700
2009-08-11,110.129997,110.279999,110.029999,110.230003,87.696739,47300
2009-08-12,110.400002,111.160004,109.870003,110.230003,87.696739,84600
2009-08-13,110.440002,110.790001,110.400002,110.730003,88.094505,23800
2009-08-14,111.000000,111.339996,110.919998,110.980003,88.293419,28200
2009-08-17,111.330002,111.529999,111.330002,111.519997,88.723000,36600
2009-08-18,111.459999,111.470001,111.220001,111.279999,88.532028,33300
2009-08-19,111.639999,111.660004,111.320000,111.430000,88.651390,127700
2009-08-20,111.449997,111.620003,111.269997,111.550003,88.746872,35600
2009-08-21,111.540001,111.550003,110.800003,110.800003,88.150238,45600
2009-08-24,110.730003,111.300003,110.730003,111.279999,88.532028,26300
2009-08-25,111.199997,111.459999,111.050003,111.459999,88.675270,26100
2009-08-26,111.489998,111.540001,111.360001,111.529999,88.730972,40000
2009-08-27,111.360001,111.610001,111.269997,111.389999,88.619598,65200
2009-08-28,111.239998,111.639999,111.190002,111.639999,88.818489,87700
2009-08-31,111.769997,111.930000,111.580002,111.900002,89.025368,30300
2009-09-01,111.760002,112.040001,111.489998,111.940002,89.230995,90000
2009-09-02,112.129997,112.379997,112.040001,112.370003,89.573807,334900
2009-09-03,112.139999,112.309998,112.040001,112.099998,89.358559,72800
2009-09-04,112.139999,112.199997,111.809998,111.830002,89.143326,38600
2009-09-08,111.750000,112.010002,111.709999,111.750000,89.079552,29000
2009-09-09,111.550003,111.820000,111.550003,111.779999,89.103455,100300
2009-09-10,112.099998,112.300003,112.000000,112.190002,89.430275,96200
2009-09-11,112.309998,112.580002,112.209999,112.209999,89.446243,75500
2009-09-14,112.150002,112.220001,111.940002,111.980003,89.262856,36600
2009-09-15,111.660004,111.910004,111.660004,111.790001,89.111412,31300
2009-09-16,111.889999,111.949997,111.449997,111.500000,88.880226,155900
2009-09-17,111.589996,111.900002,111.470001,111.839996,89.151253,42000
2009-09-18,111.730003,111.750000,111.400002,111.470001,88.856308,67600
2009-09-21,111.639999,111.779999,111.459999,111.559998,88.928108,35400
2009-09-22,111.480003,111.769997,111.480003,111.730003,89.063583,20500
2009-09-23,111.639999,112.099998,111.470001,111.989998,89.270844,55300
2009-09-24,112.070000,112.239998,111.919998,112.120003,89.374474,49100
2009-09-25,112.220001,112.320000,112.010002,112.190002,89.430275,44600
2009-09-28,112.269997,112.360001,112.110001,112.320000,89.533905,33900
2009-09-29,112.070000,112.330002,112.040001,112.260002,89.486069,28000
2009-09-30,112.269997,112.500000,112.239998,112.500000,89.677406,150700
2009-10-01,112.589996,112.910004,112.489998,112.860001,90.138206,72400
2009-10-02,113.129997,113.129997,112.709999,112.730003,90.034401,143300
2009-10-05,112.980003,112.980003,112.690002,112.739998,90.042381,137400
2009-10-06,112.660004,112.699997,112.540001,112.589996,89.922546,39100
2009-10-07,112.800003,113.059998,112.800003,112.970001,90.226128,51100
2009-10-08,112.919998,112.980003,112.639999,112.769997,90.066292,58100
2009-10-09,112.279999,112.400002,112.010002,112.070000,89.507233,40400
2009-10-12,112.110001,112.379997,112.059998,112.239998,89.643051,47100
2009-10-13,112.400002,112.610001,112.360001,112.529999,89.874687,89900
2009-10-14,112.190002,112.379997,112.040001,112.129997,89.555252,49200
2009-10-15,111.940002,112.220001,111.820000,111.870003,89.347527,67400
2009-10-16,111.910004,112.120003,111.870003,112.110001,89.539261,48900
2009-10-19,111.919998,112.199997,111.900002,112.150002,89.571159,45100
2009-10-20,112.470001,112.620003,112.360001,112.510002,89.858665,110400
2009-10-21,112.139999,112.290001,111.940002,112.190002,89.603111,62600
2009-10-22,111.919998,112.129997,111.870003,112.089996,89.523232,34200
2009-10-23,111.720001,111.849998,111.650002,111.680000,89.195786,52000
2009-10-26,111.519997,111.589996,111.290001,111.370003,88.948181,121700
2009-10-27,111.580002,112.029999,111.440002,112.029999,89.475296,35200
2009-10-28,112.040001,112.320000,111.970001,112.239998,89.643051,45000
2009-10-29,111.959999,112.029999,111.760002,111.949997,89.411438,42900
2009-10-30,112.230003,112.519997,112.120003,112.440002,89.802757,65500
2009-11-02,111.870003,111.879997,111.160004,111.669998,89.766602,379300
2009-11-03,111.839996,111.839996,111.489998,111.559998,89.678185,93500
2009-11-04,111.430000,111.519997,111.199997,111.500000,89.629974,102700
2009-11-05,111.470001,111.650002,111.430000,111.639999,89.742485,59700
2009-11-06,111.820000,111.910004,111.709999,111.879997,89.935440,59000
2009-11-09,111.910004,112.000000,111.800003,111.940002,89.983597,110200
2009-11-10,112.080002,112.080002,111.790001,111.930000,89.975609,41500
2009-11-11,111.940002,112.169998,111.930000,112.099998,90.112244,29300
